2020-04-29T14:15:13.367, i=0
2020-04-29T14:16:10.546, i=100
2020-04-29T14:16:12.411, i=200
2020-04-29T14:16:13.601, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@7c4f7bb0)
2020-04-29T14:16:13.602, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@490c3114)
2020-04-29T14:16:13.602, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@4a994f57)
2020-04-29T14:16:13.602, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@5f28588d)
2020-04-29T14:16:13.602, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@583d2a23)
2020-04-29T14:16:13.602, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@701134a1)
2020-04-29T14:16:13.602, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@70f23e03)
2020-04-29T14:16:13.602, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@6d83fca0)
2020-04-29T14:16:13.602, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@5c5eaf01)
2020-04-29T14:16:13.602, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@25933c17)
2020-04-29T14:16:13.602, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@44f00c80)
2020-04-29T14:16:13.602, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@36e48e42)
2020-04-29T14:16:13.602, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@1feb1938)
2020-04-29T14:16:13.602, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@23a4fd56)
2020-04-29T14:16:13.603, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@677471ae)
2020-04-29T14:16:13.603, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@7570659c)
